,name,region,image_url,2019-11-20,2019-11-21,2019-11-22,2019-11-23,2019-11-24,2019-11-25,2019-11-26,2019-11-27,2019-11-28,2019-11-29,2019-11-30,2019-12-01,2019-12-02,2019-12-03,2019-12-04,2019-12-05,2019-12-06,2019-12-07,2019-12-08,2019-12-09,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-14,2019-12-15,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-21,2019-12-22,2019-12-23,2019-12-24,2019-12-25,2019-12-26,2019-12-27,2019-12-28,2019-12-29,2019-12-30,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18
20,蝙蝠女侠,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,115.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,苍穹浩瀚,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,150.132,133.742,110.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,猎魔人,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.599,181.439,254.015,355.621,351.879,363.735,341.738,326.536,367.302,279.002,,,238.415,221.327,194.988,208.17,199.839,167.036,151.717,133.476,,,148.384,119.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,星掠者,JP,https://www.countryflags.io/JP/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.124,,,148.851,142.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,迷失太空,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.758,141.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,神秘博士,GB,https://www.countryflags.io/GB/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.607,187.398,262.357,367.3,514.22,565.82,375.556,413.45,295.772,278.011,366.79,268.524,171.508,178.202,168.104,167.474,142.991,133.402,124.213,,140.982,,,,156.861,167.348,,,,,,139.15,,120.868,,109.266,,,128.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.247,,,,,,,,,,,,,,,
26,海军罪案调查处,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.652,390.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,犯罪心理,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.033,,301.416,180.85,,,,171.559,116.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.864,,138.764,146.222,167.976,148.726,164.077,159.268,170.135,186.704,166.78,204.832,153.33,153.647,164.335,140.68,151.524,146.644,122.155,139.974,127.59,137.877,155.964,130.171,113.546,112.246,,,,,,,,,,,,
28,超人前传,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,摩登家庭,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
